Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"F01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",1068,ddPCR Supermix for Probes (no dUTP),21360,,,1094,1043,7156,4836,5696,1460,1655,3181,624,11992,,,,,,,,0.957,,,0.989,0.924,48.9,,,49.7,48,1,1,3075,13542,971.94,8472.6,"",,,,1082,1055,,,,,,,0.973,0.94,,,49.32,48.46,
"F02",Absolute Quantification,"ABS","",Ch1Unknown,"","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,14104,0,0,0,14104,0,14104,,,,,,,,,,,,,,,,,,1,1,0,0,1016,1016,"",,,,,,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",1031,ddPCR Supermix for Probes (no dUTP),20620,,,1057,1006,6474,4616,4935,1539,1577,3039,549,11090,,,,,,,,0.991,,,1.026,0.955,49.8,,,50.7,48.9,1,1,3260,13777,991.81,8455.4,"",,,,1044,1018,,,,,,,1.009,0.973,,,50.22,49.31,
"G02",Absolute Quantification,"ABS","",Ch1Unknown,"","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,14038,0,0,0,14038,0,14038,,,,,,,,,,,,,,,,,,1,1,0,0,987.06,987.06,"",,,,,,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS","",Ch1Unknown,"","OK",1269,ddPCR Supermix for Probes (no dUTP),25380,,,1299,1240,7953,4098,6314,1639,1626,2472,671,12051,,,,,,,,1.003,,,1.036,0.97,50.1,,,50.9,49.3,1,1,3439,13454,967.46,9207.7,"",,,,1284,1254,,,,,,,1.02,0.986,,,50.49,49.66,
"H02",Absolute Quantification,"ABS","",Ch1Unknown,"","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,15305,0,0,0,15305,0,15305,,,,,,,,,,,,,,,,,,1,1,0,0,1014.7,1014.7,"",,,,,,,,,,,,,,,,,,
"A01",Absolute Quantification,"ABS","",Ch2Unknown,"","OK",564,ddPCR Supermix for Probes (no dUTP),11280,,,579,549,5346,8693,3521,1895,1825,6798,284,14039,,,,,,,,1.017,,,1.056,0.978,50.4,,,51.4,49.5,1,1,1946,6723.3,849.91,3086.5,"",,,,572,556,,,,,,,1.037,0.997,,,50.9,49.93,
"A02",Absolute Quantification,"ABS","",Ch2Unknown,"","OK",1019,ddPCR Supermix for Probes (no dUTP),20380,,,1043,996,7567,5492,5623,1789,1944,3703,523,13059,,,,,,,,0.968,,,1,0.936,49.2,,,50,48.4,1,1,2110,6832,871,4325.1,"",,,,1031,1007,,,,,,,0.984,0.952,,,49.6,48.76,
"B01",Absolute Quantification,"ABS","",Ch2Unknown,"","OK",548,ddPCR Supermix for Probes (no dUTP),10960,,,564,531,4485,7568,2944,1609,1541,5959,277,12053,,,,,,,,1.019,,,1.062,0.977,50.5,,,51.5,49.4,1,1,2015,6785.3,859.5,3064.5,"",,,,556,539,,,,,,,1.041,0.998,,,51,49.9,
"B02",Absolute Quantification,"ABS","",Ch2Unknown,"","OK",663,ddPCR Supermix for Probes (no dUTP),13260,,,679,646,6388,8448,4911,3027,1477,5421,379,14836,,,,,,,,1.36,,,1.406,1.314,57.6,,,58.4,56.8,1,1,1700,6842.9,863.92,3438.3,"",,,,671,654,,,,,,,1.383,1.337,,,58.04,57.21,
"C01",Absolute Quantification,"ABS","",Ch2Unknown,"","OK",1132,ddPCR Supermix for Probes (no dUTP),22640,,,1159,1106,7354,4545,5628,1521,1726,3024,601,11899,,,,,,,,0.954,,,0.986,0.922,48.8,,,49.7,48,1,1,2045,6790.2,851.95,4522,"",,,,1146,1119,,,,,,,0.971,0.938,,,49.26,48.4,
"C02",Absolute Quantification,"ABS","",Ch2Unknown,"","OK",854,ddPCR Supermix for Probes (no dUTP),17080,,,876,833,6496,6087,5585,940,911,5147,663,12583,,,,,,,,1.007,,,1.042,0.971,50.2,,,51,49.3,1,1,2063,6870.2,885.01,3974.9,"",,,,865,844,,,,,,,1.025,0.989,,,50.61,49.72,
"D01",Absolute Quantification,"ABS","",Ch2Unknown,"","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,5633,3982,4267,1370,1366,2612,542,9615,,,,,,,,,,,,,,,,,,1,1,2018,6849.6,869.56,4373,"",,,,,,,,,,,,,,,,,,
"D02",Absolute Quantification,"ABS","",Ch2Unknown,"","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,9190,0,0,0,9190,0,9190,,,,,,,,,,,,,,,,,,1,1,0,0,6877.4,6877.4,"",,,,,,,,,,,,,,,,,,
"E01",Absolute Quantification,"ABS","",Ch2Unknown,"","OK",1065,ddPCR Supermix for Probes (no dUTP),21300,,,1092,1039,6535,4436,5046,1543,1489,2893,577,10971,,,,,,,,1.014,,,1.049,0.978,50.3,,,51.2,49.5,1,1,2143,6921.7,884.62,4480.7,"",,,,1079,1052,,,,,,,1.032,0.995,,,50.79,49.88,
"E02",Absolute Quantification,"ABS","",Ch2Unknown,"","OK",1413,ddPCR Supermix for Probes (no dUTP),28260,,,1445,1381,8256,3555,6461,1766,1795,1789,595,11811,,,,,,,,0.993,,,1.025,0.961,49.8,,,50.6,49,1,1,1969,6801.5,869.52,5016.1,"",,,,1429,1396,,,,,,,1.01,0.977,,,50.24,49.42,
"F01",Absolute Quantification,"ABS","",Ch2Unknown,"","OK",1117,ddPCR Supermix for Probes (no dUTP),22340,,,1144,1091,7351,4641,5696,1460,1655,3181,624,11992,,,,,,,,0.957,,,0.989,0.924,48.9,,,49.7,48,1,1,1919,6838.7,858.1,4524.1,"",,,,1130,1103,,,,,,,0.973,0.94,,,49.32,48.46,
"F02",Absolute Quantification,"ABS","",Ch2Unknown,"","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,14104,0,0,0,14104,0,14104,,,,,,,,,,,,,,,,,,1,1,0,0,898.44,898.44,"",,,,,,,,,,,,,,,,,,
"G01",Absolute Quantification,"ABS","",Ch2Unknown,"","OK",1041,ddPCR Supermix for Probes (no dUTP),20820,,,1067,1015,6512,4578,4935,1539,1577,3039,549,11090,,,,,,,,0.991,,,1.026,0.955,49.8,,,50.7,48.9,1,1,2179,6973.8,892.63,4463.5,"",,,,1054,1028,,,,,,,1.009,0.973,,,50.22,49.31,
"G02",Absolute Quantification,"ABS","",Ch2Unknown,"","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,14038,0,0,0,14038,0,14038,,,,,,,,,,,,,,,,,,1,1,0,0,863.67,863.67,"",,,,,,,,,,,,,,,,,,
"H01",Absolute Quantification,"ABS","",Ch2Unknown,"","OK",1265,ddPCR Supermix for Probes (no dUTP),25300,,,1295,1236,7940,4111,6314,1639,1626,2472,671,12051,,,,,,,,1.003,,,1.036,0.97,50.1,,,50.9,49.3,1,1,2100,6778.8,850.44,4756.4,"",,,,1280,1250,,,,,,,1.02,0.986,,,50.49,49.66,
"H02",Absolute Quantification,"ABS","",Ch2Unknown,"","CHECK",No Call,ddPCR Supermix for Probes (no dUTP),,,,,,0,15305,0,0,0,15305,0,15305,,,,,,,,,,,,,,,,,,1,1,0,0,896.41,896.41,"",,,,,,,,,,,,,,,,,,
